abiotique
agriculture durable
agriculture intensive
agriculture raisonnée
agro-système
agrosystème
environnemental
audit environnemental
bilan carbone
biodégradabilité
biodégradable
biodiversité
bioénergie
biomasse
bioréhabilitation
bioremédiation
biotope
biotraitement
biotransformation
bioturbation
biozone
carboneutre
changement climatique
climat
climacique
climato-sceptique
climax
compostage
corridor biologique
couche d’ozone
déchèterie
défaunation
déforestation
diversité biologique
écocitoyen
écoconception
écodistrict
écogeste
écologie
éconavigation
écoquartier
écorésistance
écosystémique
écotaxe
empreinte carbone
environnement
espace vert
gaz à effet de serre
hypothèse Gaïa
hypoxie
micro-climat
microclimat
milieu
puits de carbone
reboisement
réchauffement climatique
réchauffement global
réchauffement planétaire
transition énergétique
tri sélectif
