abiotique
acéraie
agriculteur urbain
agriculture durable
agriculture intensive
agriculture raisonnée
agriculture urbaine
agro-système
agrosystème
algueraie
alpien
alpigène
altéralogie
anoxie
anthropozoogène
arbre
arrhénathéraie
artificialisation
artificialisation des sols
artificialisé
arvicole
audit environnemental
aulnaie
aulnaie-frênaie
aunaie
autécologie
bathostadion
batrachoduc
beine
benthique
bétulaie
bilan carbone
biocénose
biodégradabilité
biodégradable
biodégradation totale
biodiversité
bioénergie
bioindicateur
biomagnification
biomasse
biome
bioréhabilitation
bioremédiation
biosourcé
biotope
biotraitement
biotransformation
bioturbation
biozone
boisable
boiser
boulaie
boulinière
bryophytique
buxaie
cacaoyère
cadrage
caducifolié
caféière
CAH
calcifugie
callunaie
cannaie
canopée
capoeira
caraïbe
carbocentrisme
carbocentriste
carboneutre
caribéen
cariçaie
cédraie
cédrière
cénobiose
centripète
chaîne alimentaire
chaîne trophodynamique
chaméphyte
champ
changement climatique
changement climatique anthropique
characaie
charbon
charmeraie
chasmophyte
châtaigneraie
chênaie
chênaie verte
chimiosynthèse
chorologie
chorologique
circumboréale
clairière
climat
climacique
climato-sceptique
climax
cliserie
cocciféraie
cocoteraie
commensal
compostage
conclimax
concurrence
coniférien
conisylve
continental
corridor biologique
corticole
corylaie
couche d’ozone
couverture morte
crapaudrome
crapauduc
cryoplancton
culture vivrière
déchèterie
décidu
décidué
décombrant
décomposeur
défaunation
déforestation
dégradabilité
degré trophique
désamiantage
désartificialisation
déserticole
détritivore
diversité biologique
droseraie
dryade
dulçaquicole
durablement
dynécologie
eaux colorées
éco-navigation
écoblanchiment
écocitoyen
écocitoyenneté
écoconception
écodistrict
écogeste
écoguerrier
écologie
écologie profonde
éconavigation
écoquartier
écorégion
écorésistance
écosystémique
écotaxe
écotone
écotype
écovolontariat
écozone
écuroduc
édaphique
édaphiquement
empreinte carbone
endophyte
enrésinement
environnement
épharmonique
épiphyte
épiphytiquement
érablière
érémobionte
érémophyte
espace vert
essence objective
estran
ethnobiologie
euatlantique
euméditerranéen
euméditerranéenne
euptéridaie
euryhalin
eurynaturalisé
euryxène
eutrophie
évapotranspiration
explosion vernale
faciès
fagne
faunistique
féralité
feu de forêt
filipendulaie
finbos
floristique
floristiquement
forêt
forêt à quebracho
forêt à québracho
forêt chilote
forêt chinoise
forêt claire
forêt-clairière
forêt-climax
forêt d’alerce
forêt d’alisio
forêt d’araucarias
forêt de bois des couleurs
forêt de ciprès
forêt des elfes
forêt-galerie
forêt laurifoliée
forêt-parc
forêt primaire
forêt secondaire
formation
fougeraie
foulaie
foutelaie
fynbos
garide
gaz à effet de serre
genévraie
géophyte
ginestaie
glycériaie
graminoïde
grégarisme
groupement
guilde
halophile
halotolérant
haute tourbière
héliophile
héliophobe
héliophuge
hélophyte
hélostadion
hémi-épiphyte
hémiépiphyte
herbier
hêtraie
holarctique
houblonnière
hydrophyte
hydrosystème
hygrophile
Hygrophorbium
hygrophylle
Hygrosphagnium
hypothèse Gaïa
hypoxie
île flottante
iliçaie
incendie de forêt
indigénat
infraspécifique
interspécifique
junipéraie
lariçaie
latéatlantique
latéméditerranéen
latéméditerranéenne
laurifolié
lauriphylle
laurisilve
laurisylve
lavandaie
lentique
liane
limnique
lisière
lit fluidisé
lithophile
litière
llanos
lotique
macrophanérophyte
macrophytique
magnocariçaie
mallee
mallee-scrub
marée verte
matorral
mauvaise saison
médioeuropéen
médioeuropéenne
méditerranéen
méga-herbivore
mégaherbivore
mégaphorbiaie
mégavertébré
mercatique écologique
mésique
mésohygrophile
mésophanérophyte
mésosaprobie
mésotrophie
mésoxérophile
messicole
micro-climat
microclimat
milieu
mini-réserve
moliniaie
mosaïque
muscinal
nanophanérophyte
naturalité
Néarctique
neige colorée
néogaride
néophyte
néotropical
Néotropique
neutro-alcalin
neutroalcalin
niche
nitratophile
nitrophile
niveau trophique
nupharaie
nymphaie
oasien
oasis
obsidional
oïkologie
oligotrophe
ombelliforme
ombro-
organochloré
oseraie
ourlet
paléarctique
palmarium
palustre
pannonique
paraclimacique
paraclimax
parkland
passage petite faune
pauci-spécifique
paucispécifique
pélagicité
pélagique
pélagophyte
pérénifolié
pessière
phalaridaie
phanérophyte
photosynthèse
phragmitaie
phragmito-scirpaie
physionomie
phytocénose
phytoédaphon
phytosociologie
pinaie
pineraie
pionnière
plaine africaine
plaine asiatique
plancton
planctonique
pléon
ploadostadion
pluviolessivage
pluviolessivat
polémosystème
polémosystèmes
polyxène
populetum
populicole
populiculteur
populiculture
potamaie
prairial
prairie
praticulture
pré
pré-bois
prédater
primaire
propéméditerranéen
propéméditerranéenne
psammophile
pseudo-atlantique
pseudopléon
ptéridaie
puits de carbone
pyrophile
reboisement
réchauffement climatique
réchauffement global
réchauffement planétaire
réchauffisme
réchauffiste
recyclerie
région biogéographique
remédiation
renaturation
réseau trophique
réserve
réserve naturelle
résilience
rhéophyte
ripicole
ripisilve
ripisylve
ripuaire
rizière
roselière
rostrocariçaie
rudérale
rudéralisation
rudéraliser
rustique
sapinière
saprophage
sarmatien
sarmatique
saulaie
saussaie
sciaphile
scirpaie
scirpo-phragmitaie
sclérophylle
scrub
secondaire
ségétal
semiméditerranéen
semiméditerranéenne
séquestration carbone
sociabilité
social
spontané
stadion
stagnal
stationnel
sténonaturalisé
sub-atlantique
subatlantique
subclimacique
subclimax
suberaie
subéraie
subérification
subérisation
subméditerranéen
subméditerranéenne
submersipotamaie
subrudéral
subsarmatique
subsaxicole
suveraie
sylvigénétique
symphytie
synécie
synécologie
synécologique
tarodière
taux de croissance
terran
terricole
tétraclinaie
thermohygrophile
thermophile
thermotropophytie
thuriféraie
thymaie
tillaie
tomillar
tourbière
tourbière à sphaignes
tourbière bombée
tourbière ombrogène
tourbière ombrotrophe
tourbière supra-aquatique
transition écologique
transition énergétique
tri sélectif
trouée
turficole
typhaie
urbainculteur
valorisation
vasière
vert
xérique
Xerophorbium
xérothermique
yeusaie
yeuseraie
zénaie
zoocénose
